id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
8788;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-32;102687892;2026-07-10 17:01:01+00
8789;NJYF1;1;33.30;32.00;35.00;33.50;47;server;safe;online;-31;102808805;2026-07-10 17:03:02+00
8790;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-32;102928825;2026-07-10 17:05:02+00
8791;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-32;103049767;2026-07-10 17:07:03+00
8792;NJYF1;1;33.30;32.00;35.00;33.50;47;server;safe;online;-32;103169790;2026-07-10 17:09:03+00
8793;NJYF1;1;33.20;32.00;35.00;33.50;50;server;safe;online;-32;103290739;2026-07-10 17:11:04+00
8794;NJYF1;1;33.30;32.00;35.00;33.50;46;server;safe;online;-31;103410905;2026-07-10 17:13:04+00
8795;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-31;103531141;2026-07-10 17:15:04+00
8796;NJYF1;1;33.30;32.00;35.00;33.50;47;server;safe;online;-31;103651426;2026-07-10 17:17:04+00
8797;NJYF1;1;33.20;32.00;35.00;33.50;50;server;safe;online;-31;103771572;2026-07-10 17:19:04+00
8798;NJYF1;1;33.20;32.00;35.00;33.50;52;server;safe;online;-32;103891709;2026-07-10 17:21:04+00
8799;NJYF1;1;33.20;32.00;35.00;33.50;50;server;safe;online;-31;104011944;2026-07-10 17:23:05+00
8800;NJYF1;1;33.20;32.00;35.00;33.50;50;server;safe;online;-32;104132164;2026-07-10 17:25:05+00
8801;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-31;104252431;2026-07-10 17:27:05+00
8802;NJYF1;1;33.20;32.00;35.00;33.50;50;server;safe;online;-32;104372615;2026-07-10 17:29:05+00
8803;NJYF1;1;33.20;32.00;35.00;33.50;50;server;safe;online;-31;104492778;2026-07-10 17:31:06+00
8804;NJYF1;1;33.20;32.00;35.00;33.50;52;server;safe;online;-31;104612982;2026-07-10 17:33:06+00
8805;NJYF1;1;33.20;32.00;35.00;33.50;52;server;safe;online;-33;104733150;2026-07-10 17:35:06+00
8806;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-31;104853425;2026-07-10 17:37:06+00
8807;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-31;104973624;2026-07-10 17:39:06+00
8808;NJYF1;1;33.20;32.00;35.00;33.50;54;server;safe;online;-32;105093905;2026-07-10 17:41:07+00
8809;NJYF1;1;33.20;32.00;35.00;33.50;50;server;safe;online;-32;105214170;2026-07-10 17:43:07+00
8810;NJYF1;1;33.20;32.00;35.00;33.50;53;server;safe;online;-32;105334372;2026-07-10 17:45:07+00
8811;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-31;105454657;2026-07-10 17:47:07+00
8812;NJYF1;1;33.20;32.00;35.00;33.50;50;server;safe;online;-31;105574913;2026-07-10 17:49:07+00
8813;NJYF1;1;33.20;32.00;35.00;33.50;50;server;safe;online;-31;105695147;2026-07-10 17:51:08+00
8814;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-32;105815397;2026-07-10 17:53:08+00
8815;NJYF1;1;33.20;32.00;35.00;33.50;54;server;safe;online;-31;105935609;2026-07-10 17:55:08+00
8816;NJYF1;1;33.20;32.00;35.00;33.50;53;server;safe;online;-32;106055761;2026-07-10 17:57:08+00
8817;NJYF1;1;33.20;32.00;35.00;33.50;53;server;safe;online;-32;106175983;2026-07-10 17:59:08+00
8818;NJYF1;1;33.20;32.00;35.00;33.50;52;server;safe;online;-33;106296225;2026-07-10 18:01:09+00
