id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
15015;NJYF1;1;25.90;32.00;35.00;33.50;99;server;safe;online;-66;55133127;2026-07-26 17:01:30+00
15016;NJYF1;1;26.00;32.00;35.00;33.50;99;server;safe;online;-65;55253227;2026-07-26 17:03:30+00
15017;NJYF1;1;25.90;32.00;35.00;33.50;99;server;safe;online;-65;55373357;2026-07-26 17:05:30+00
15018;NJYF1;1;25.90;32.00;35.00;33.50;99;server;safe;online;-65;55493504;2026-07-26 17:07:31+00
15019;NJYF1;1;25.90;32.00;35.00;33.50;99;server;safe;online;-65;55613572;2026-07-26 17:09:31+00
15020;NJYF1;1;25.90;32.00;35.00;33.50;99;server;safe;online;-65;55733699;2026-07-26 17:11:31+00
15021;NJYF1;1;25.90;32.00;35.00;33.50;99;server;safe;online;-65;55853786;2026-07-26 17:13:31+00
15022;NJYF1;1;25.80;32.00;35.00;33.50;99;server;safe;online;-65;55973955;2026-07-26 17:15:31+00
15023;NJYF1;1;25.80;32.00;35.00;33.50;99;server;safe;online;-65;56094025;2026-07-26 17:17:31+00
15024;NJYF1;1;25.80;32.00;35.00;33.50;99;server;safe;online;-65;56214169;2026-07-26 17:19:31+00
15025;NJYF1;1;25.80;32.00;35.00;33.50;99;server;safe;online;-67;56334296;2026-07-26 17:21:31+00
15026;NJYF1;1;25.70;32.00;35.00;33.50;99;server;safe;online;-65;56454425;2026-07-26 17:23:31+00
15027;NJYF1;1;25.70;32.00;35.00;33.50;99;server;safe;online;-65;56575378;2026-07-26 17:25:32+00
15028;NJYF1;1;25.60;32.00;35.00;33.50;99;server;safe;online;-65;56696344;2026-07-26 17:27:33+00
15029;NJYF1;1;25.60;32.00;35.00;33.50;99;server;safe;online;-65;56817218;2026-07-26 17:29:34+00
15030;NJYF1;1;25.70;32.00;35.00;33.50;99;server;safe;online;-66;56938205;2026-07-26 17:31:35+00
15031;NJYF1;1;25.70;32.00;35.00;33.50;99;server;safe;online;-65;57058228;2026-07-26 17:33:35+00
