id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
10727;NJYF1;1;26.10;39.00;40.00;39.50;99;manual;error;online;-69;25144729;2026-07-20 17:00:59+00
10728;NJYF1;1;26.10;39.00;40.00;39.50;99;manual;error;online;-69;25264891;2026-07-20 17:02:59+00
10729;NJYF1;1;26.10;39.00;40.00;39.50;99;manual;error;online;-70;25385087;2026-07-20 17:04:59+00
10730;NJYF1;1;26.10;39.00;40.00;39.50;99;manual;error;online;-70;25505295;2026-07-20 17:07:00+00
10731;NJYF1;1;26.20;39.00;40.00;39.50;99;manual;error;online;-69;25625533;2026-07-20 17:09:00+00
10732;NJYF1;1;26.20;39.00;40.00;39.50;99;manual;error;online;-69;25745679;2026-07-20 17:11:00+00
10733;NJYF1;1;26.20;39.00;40.00;39.50;99;manual;error;online;-69;25865817;2026-07-20 17:13:00+00
10734;NJYF1;1;26.20;39.00;40.00;39.50;99;manual;error;online;-70;25985981;2026-07-20 17:15:00+00
10735;NJYF1;1;26.20;39.00;40.00;39.50;99;manual;error;online;-69;26106160;2026-07-20 17:17:00+00
10736;NJYF1;1;26.20;39.00;40.00;39.50;99;manual;error;online;-70;26226234;2026-07-20 17:19:01+00
10737;NJYF1;1;26.30;39.00;40.00;39.50;99;manual;error;online;-69;26346468;2026-07-20 17:21:01+00
10738;NJYF1;1;26.20;39.00;40.00;39.50;99;manual;error;online;-70;26466653;2026-07-20 17:23:01+00
10739;NJYF1;1;26.20;39.00;40.00;39.50;99;manual;error;online;-69;26586722;2026-07-20 17:25:01+00
10740;NJYF1;1;25.90;39.00;40.00;39.50;99;manual;error;online;-70;27069343;2026-07-20 17:33:04+00
10741;NJYF1;1;25.90;39.00;40.00;39.50;99;manual;error;online;-69;27189480;2026-07-20 17:35:04+00
10742;NJYF1;1;25.90;39.00;40.00;39.50;99;manual;error;online;-69;27309602;2026-07-20 17:37:04+00
10743;NJYF1;1;25.80;39.00;40.00;39.50;99;manual;error;online;-70;27429812;2026-07-20 17:39:04+00
10744;NJYF1;1;25.70;39.00;40.00;39.50;99;manual;error;online;-70;27549999;2026-07-20 17:41:04+00
10745;NJYF1;1;25.70;39.00;40.00;39.50;99;manual;error;online;-71;27670127;2026-07-20 17:43:04+00
10746;NJYF1;1;25.60;39.00;40.00;39.50;99;manual;error;online;-70;27790250;2026-07-20 17:45:05+00
10747;NJYF1;1;25.60;39.00;40.00;39.50;99;manual;error;online;-72;27910258;2026-07-20 17:47:05+00
10748;NJYF1;1;25.60;39.00;40.00;39.50;99;manual;error;online;-71;28030298;2026-07-20 17:49:05+00
10749;NJYF1;1;25.60;39.00;40.00;39.50;99;manual;error;online;-70;28150442;2026-07-20 17:51:05+00
10750;NJYF1;1;25.50;39.00;40.00;39.50;99;manual;error;online;-69;28270683;2026-07-20 17:53:05+00
10751;NJYF1;1;25.50;39.00;40.00;39.50;99;manual;error;online;-69;28390824;2026-07-20 17:55:05+00
10752;NJYF1;1;25.40;39.00;40.00;39.50;99;manual;error;online;-70;28511031;2026-07-20 17:57:05+00
10753;NJYF1;1;25.40;39.00;40.00;39.50;99;manual;error;online;-68;28631121;2026-07-20 17:59:05+00
10754;NJYF1;1;25.40;39.00;40.00;39.50;99;manual;error;online;-69;28751307;2026-07-20 18:01:06+00
10755;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-71;28871407;2026-07-20 18:03:06+00
10756;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-70;28991683;2026-07-20 18:05:06+00
10757;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-71;29111841;2026-07-20 18:07:06+00
10758;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-71;29231937;2026-07-20 18:09:06+00
10759;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-71;29352084;2026-07-20 18:11:06+00
10760;NJYF1;1;25.20;39.00;40.00;39.50;99;manual;error;online;-71;29472260;2026-07-20 18:13:07+00
10761;NJYF1;1;25.20;39.00;40.00;39.50;99;manual;error;online;-71;29592421;2026-07-20 18:15:07+00
10762;NJYF1;1;25.20;39.00;40.00;39.50;99;manual;error;online;-70;29712547;2026-07-20 18:17:07+00
10763;NJYF1;1;25.20;39.00;40.00;39.50;99;manual;error;online;-70;29832730;2026-07-20 18:19:07+00
10764;NJYF1;1;25.20;39.00;40.00;39.50;99;manual;error;online;-71;29952889;2026-07-20 18:21:07+00
10765;NJYF1;1;25.20;39.00;40.00;39.50;99;manual;error;online;-71;30073065;2026-07-20 18:23:07+00
10766;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-70;30193206;2026-07-20 18:25:07+00
10767;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-69;30313331;2026-07-20 18:27:08+00
10768;NJYF1;1;25.40;39.00;40.00;39.50;99;manual;error;online;-70;30433466;2026-07-20 18:29:08+00
10769;NJYF1;1;25.40;39.00;40.00;39.50;99;manual;error;online;-68;30553707;2026-07-20 18:31:08+00
10770;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-69;30673861;2026-07-20 18:33:08+00
10771;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-68;30794069;2026-07-20 18:35:08+00
10772;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-70;30914186;2026-07-20 18:37:08+00
10773;NJYF1;1;25.30;39.00;40.00;39.50;99;manual;error;online;-69;31034360;2026-07-20 18:39:09+00
10774;NJYF1;1;25.20;39.00;40.00;39.50;99;manual;error;online;-69;31154484;2026-07-20 18:41:09+00
10775;NJYF1;1;25.20;39.00;40.00;39.50;99;manual;error;online;-69;31274640;2026-07-20 18:43:09+00
10776;NJYF1;1;25.10;39.00;40.00;39.50;99;manual;error;online;-70;31394745;2026-07-20 18:45:09+00
10777;NJYF1;1;25.10;39.00;40.00;39.50;99;manual;error;online;-70;31514982;2026-07-20 18:47:09+00
10778;NJYF1;1;25.00;39.00;40.00;39.50;99;manual;error;online;-70;31635097;2026-07-20 18:49:09+00
10779;NJYF1;1;25.10;39.00;40.00;39.50;99;manual;error;online;-69;31755191;2026-07-20 18:51:09+00
10780;NJYF1;1;25.00;39.00;40.00;39.50;99;manual;error;online;-70;31875346;2026-07-20 18:53:10+00
10781;NJYF1;1;25.00;39.00;40.00;39.50;99;manual;error;online;-69;31995542;2026-07-20 18:55:10+00
10782;NJYF1;1;25.00;39.00;40.00;39.50;99;manual;error;online;-69;32115641;2026-07-20 18:57:10+00
10783;NJYF1;1;25.00;39.00;40.00;39.50;99;manual;error;online;-71;32235785;2026-07-20 18:59:10+00
10784;NJYF1;1;24.90;39.00;40.00;39.50;99;manual;error;online;-70;32356004;2026-07-20 19:01:10+00
10785;NJYF1;1;24.90;39.00;40.00;39.50;99;manual;error;online;-70;32476163;2026-07-20 19:03:10+00
