id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
19208;NJYF1;1;28.10;30.00;36.00;33.00;99;manual;safe;online;-66;33769744;2026-07-18 17:00:00+00
19209;NJYF1;1;28.20;30.00;36.00;33.00;99;manual;safe;online;-66;33890347;2026-07-18 17:02:01+00
19210;NJYF1;1;28.20;30.00;36.00;33.00;99;manual;safe;online;-65;34010946;2026-07-18 17:04:02+00
19211;NJYF1;1;28.20;30.00;36.00;33.00;99;manual;safe;online;-66;34131548;2026-07-18 17:06:02+00
19212;NJYF1;1;28.30;30.00;36.00;33.00;99;manual;safe;online;-66;34252132;2026-07-18 17:08:03+00
19213;NJYF1;1;28.30;30.00;36.00;33.00;99;manual;safe;online;-66;34372738;2026-07-18 17:10:03+00
19214;NJYF1;1;28.30;30.00;36.00;33.00;99;manual;safe;online;-66;34493338;2026-07-18 17:12:04+00
19215;NJYF1;1;28.30;30.00;36.00;33.00;99;manual;safe;online;-66;34613929;2026-07-18 17:14:04+00
19216;NJYF1;1;28.20;30.00;36.00;33.00;99;manual;safe;online;-66;34734536;2026-07-18 17:16:05+00
19217;NJYF1;1;28.30;30.00;36.00;33.00;99;manual;safe;online;-65;34855132;2026-07-18 17:18:06+00
19218;NJYF1;1;28.30;30.00;36.00;33.00;99;manual;safe;online;-66;34975731;2026-07-18 17:20:06+00
19219;NJYF1;1;28.30;30.00;36.00;33.00;99;manual;safe;online;-66;35096317;2026-07-18 17:22:07+00
19220;NJYF1;1;28.30;30.00;36.00;33.00;99;manual;safe;online;-66;35216904;2026-07-18 17:24:07+00
19221;NJYF1;1;28.20;30.00;36.00;33.00;99;manual;safe;online;-66;35337494;2026-07-18 17:26:08+00
19222;NJYF1;1;28.30;30.00;36.00;33.00;99;manual;safe;online;-65;35458068;2026-07-18 17:28:08+00
19223;NJYF1;1;28.20;30.00;36.00;33.00;99;manual;safe;online;-66;35578662;2026-07-18 17:30:09+00
19224;NJYF1;1;28.10;30.00;36.00;33.00;99;manual;safe;online;-66;35699254;2026-07-18 17:32:10+00
19225;NJYF1;1;28.00;30.00;36.00;33.00;99;manual;safe;online;-66;35819831;2026-07-18 17:34:10+00
19226;NJYF1;1;28.00;30.00;36.00;33.00;99;manual;safe;online;-65;35940413;2026-07-18 17:36:11+00
