id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
8131;NJYF1;1;33.40;32.00;35.00;33.50;38;server;safe;online;-34;16272547;2026-07-09 17:00:48+00
8132;NJYF1;1;33.40;32.00;35.00;33.50;39;server;safe;online;-33;16392684;2026-07-09 17:02:48+00
8133;NJYF1;1;33.30;32.00;35.00;33.50;42;server;safe;online;-36;16512751;2026-07-09 17:04:48+00
8134;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;16632820;2026-07-09 17:06:48+00
8135;NJYF1;1;33.40;32.00;35.00;33.50;41;server;safe;online;-33;16753017;2026-07-09 17:08:48+00
8136;NJYF1;1;33.40;32.00;35.00;33.50;41;server;safe;online;-33;16873137;2026-07-09 17:10:48+00
8137;NJYF1;1;33.40;32.00;35.00;33.50;41;server;safe;online;-33;16993361;2026-07-09 17:12:48+00
8138;NJYF1;1;33.40;32.00;35.00;33.50;39;server;safe;online;-33;17113550;2026-07-09 17:14:49+00
8139;NJYF1;1;33.30;32.00;35.00;33.50;46;server;safe;online;-36;17233786;2026-07-09 17:16:49+00
8140;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;17353829;2026-07-09 17:18:49+00
8141;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-34;17473834;2026-07-09 17:20:49+00
8142;NJYF1;1;33.30;32.00;35.00;33.50;42;server;safe;online;-33;17594804;2026-07-09 17:22:50+00
8143;NJYF1;1;33.30;32.00;35.00;33.50;42;server;safe;online;-34;17715753;2026-07-09 17:24:51+00
8144;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-34;17836674;2026-07-09 17:26:52+00
8145;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-33;17957672;2026-07-09 17:28:53+00
8146;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;18078673;2026-07-09 17:30:54+00
8147;NJYF1;1;33.40;32.00;35.00;33.50;41;server;safe;online;-33;18198691;2026-07-09 17:32:54+00
8148;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;18319646;2026-07-09 17:34:55+00
8149;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-32;18440608;2026-07-09 17:36:56+00
8150;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;18561592;2026-07-09 17:38:57+00
8151;NJYF1;1;33.30;32.00;35.00;33.50;42;server;safe;online;-33;18682601;2026-07-09 17:40:58+00
8152;NJYF1;1;33.40;32.00;35.00;33.50;39;server;safe;online;-33;18802651;2026-07-09 17:42:58+00
8153;NJYF1;1;33.30;32.00;35.00;33.50;42;server;safe;online;-34;18923598;2026-07-09 17:44:59+00
8154;NJYF1;1;33.40;32.00;35.00;33.50;41;server;safe;online;-33;19043613;2026-07-09 17:46:59+00
8155;NJYF1;1;33.30;32.00;35.00;33.50;42;server;safe;online;-33;19163669;2026-07-09 17:48:59+00
8156;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;19283699;2026-07-09 17:50:59+00
8157;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-33;19403711;2026-07-09 17:52:59+00
8158;NJYF1;1;33.40;32.00;35.00;33.50;38;server;safe;online;-33;19523816;2026-07-09 17:54:59+00
8159;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-33;19644784;2026-07-09 17:57:00+00
8160;NJYF1;1;33.30;32.00;35.00;33.50;42;server;safe;online;-33;19764800;2026-07-09 17:59:00+00
8161;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-33;19884805;2026-07-09 18:01:00+00
8162;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-33;20004906;2026-07-09 18:03:00+00
8163;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;20124984;2026-07-09 18:05:00+00
8164;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-34;20245023;2026-07-09 18:07:00+00
8165;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;20365075;2026-07-09 18:09:00+00
8166;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-33;20485173;2026-07-09 18:11:00+00
8167;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-36;20605190;2026-07-09 18:13:00+00
8168;NJYF1;1;33.40;32.00;35.00;33.50;41;server;safe;online;-32;20726050;2026-07-09 18:15:01+00
8169;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-34;20846976;2026-07-09 18:17:02+00
8170;NJYF1;1;33.40;32.00;35.00;33.50;41;server;safe;online;-33;20967935;2026-07-09 18:19:03+00
8171;NJYF1;1;33.30;32.00;35.00;33.50;45;server;safe;online;-33;21088055;2026-07-09 18:21:03+00
8172;NJYF1;1;33.30;32.00;35.00;33.50;46;server;safe;online;-34;21208298;2026-07-09 18:23:03+00
8173;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;21328535;2026-07-09 18:25:04+00
8174;NJYF1;1;33.30;32.00;35.00;33.50;46;server;safe;online;-34;21448746;2026-07-09 18:27:04+00
8175;NJYF1;1;33.30;32.00;35.00;33.50;47;server;safe;online;-33;21568864;2026-07-09 18:29:04+00
8176;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-37;21689105;2026-07-09 18:31:04+00
8177;NJYF1;1;33.30;32.00;35.00;33.50;49;server;safe;online;-34;21809220;2026-07-09 18:33:04+00
8178;NJYF1;1;33.30;32.00;35.00;33.50;46;server;safe;online;-33;21929400;2026-07-09 18:35:04+00
8179;NJYF1;1;33.30;32.00;35.00;33.50;46;server;safe;online;-32;22049583;2026-07-09 18:37:04+00
8180;NJYF1;1;33.30;32.00;35.00;33.50;47;server;safe;online;-33;22169814;2026-07-09 18:39:05+00
8181;NJYF1;1;33.30;32.00;35.00;33.50;46;server;safe;online;-33;22289817;2026-07-09 18:41:05+00
8182;NJYF1;1;33.30;32.00;35.00;33.50;47;server;safe;online;-33;22410673;2026-07-09 18:43:05+00
8183;NJYF1;1;33.30;32.00;35.00;33.50;43;server;safe;online;-33;22531572;2026-07-09 18:45:06+00
8184;NJYF1;1;33.30;32.00;35.00;33.50;46;server;safe;online;-34;22652497;2026-07-09 18:47:07+00
