id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
12867;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-67;29964244;2026-07-23 17:00:18+00
12868;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-65;30085196;2026-07-23 17:02:19+00
12869;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-66;30205209;2026-07-23 17:04:19+00
12870;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-65;30326124;2026-07-23 17:06:19+00
12871;NJYF1;1;25.70;32.00;35.00;33.50;99;manual;safe;online;-65;30446183;2026-07-23 17:08:20+00
12872;NJYF1;1;25.70;32.00;35.00;33.50;99;manual;safe;online;-64;30567195;2026-07-23 17:10:21+00
12873;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-64;30687245;2026-07-23 17:12:21+00
12874;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-63;30808256;2026-07-23 17:14:22+00
12875;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-64;30928328;2026-07-23 17:16:22+00
12876;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-64;31048416;2026-07-23 17:18:22+00
12877;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-64;31168545;2026-07-23 17:20:22+00
12878;NJYF1;1;25.50;32.00;35.00;33.50;99;manual;safe;online;-65;31288638;2026-07-23 17:22:22+00
12879;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-64;31408654;2026-07-23 17:24:22+00
12880;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;safe;online;-65;31528726;2026-07-23 17:26:22+00
12881;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;safe;online;-64;120990;2026-07-23 17:29:09+00
12882;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;safe;online;-64;241879;2026-07-23 17:31:10+00
12883;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;safe;online;-63;362699;2026-07-23 17:33:11+00
12884;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;safe;online;-64;483511;2026-07-23 17:35:12+00
12885;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;safe;online;-64;604387;2026-07-23 17:37:13+00
12886;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;safe;online;-66;725218;2026-07-23 17:39:13+00
12887;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;safe;online;-65;846059;2026-07-23 17:41:14+00
12888;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;safe;online;-66;966936;2026-07-23 17:43:15+00
12889;NJYF1;1;25.00;32.00;35.00;33.50;99;manual;safe;online;-64;1087813;2026-07-23 17:45:16+00
12890;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;safe;online;-65;1208694;2026-07-23 17:47:17+00
12891;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;safe;online;-65;1329587;2026-07-23 17:49:18+00
12892;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;safe;online;-65;1450503;2026-07-23 17:51:19+00
12893;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;safe;online;-65;1571460;2026-07-23 17:53:20+00
12894;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;safe;online;-66;1691501;2026-07-23 17:55:20+00
12895;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;safe;online;-64;1811575;2026-07-23 17:57:20+00
12896;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;safe;online;-65;1931638;2026-07-23 17:59:20+00
12897;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;safe;online;-65;2051647;2026-07-23 18:01:20+00
12898;NJYF1;1;25.00;32.00;35.00;33.50;99;manual;safe;online;-65;2171682;2026-07-23 18:03:20+00
12899;NJYF1;1;25.00;32.00;35.00;33.50;99;manual;safe;online;-64;2291842;2026-07-23 18:05:20+00
12900;NJYF1;1;25.00;32.00;35.00;33.50;99;manual;safe;online;-65;2411902;2026-07-23 18:07:20+00
12901;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;safe;online;-64;2531961;2026-07-23 18:09:20+00
12902;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;safe;online;-65;2651974;2026-07-23 18:11:20+00
12903;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;safe;online;-65;2772907;2026-07-23 18:13:21+00
12904;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;safe;online;-65;2893805;2026-07-23 18:15:22+00
12905;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;safe;online;-66;3014718;2026-07-23 18:17:23+00
12906;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;safe;online;-65;3135628;2026-07-23 18:19:24+00
12907;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;safe;online;-65;3256589;2026-07-23 18:21:25+00
12908;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;safe;online;-66;3377545;2026-07-23 18:23:26+00
12909;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;safe;online;-64;3498428;2026-07-23 18:25:27+00
12910;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;safe;online;-64;3619365;2026-07-23 18:27:27+00
12911;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;safe;online;-65;3740333;2026-07-23 18:29:28+00
12912;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;safe;online;-65;3861258;2026-07-23 18:31:29+00
12913;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;safe;online;-65;3982255;2026-07-23 18:33:30+00
12914;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;safe;online;-65;4103151;2026-07-23 18:35:31+00
12915;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;safe;online;-64;4224106;2026-07-23 18:37:32+00
12916;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;safe;online;-65;4345048;2026-07-23 18:39:33+00
12917;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;safe;online;-66;4465967;2026-07-23 18:41:34+00
12918;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;safe;online;-65;4586888;2026-07-23 18:43:35+00
12919;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;safe;online;-64;4707760;2026-07-23 18:45:36+00
12920;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-64;4828706;2026-07-23 18:47:37+00
12921;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-64;4949645;2026-07-23 18:49:38+00
12922;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-65;5070535;2026-07-23 18:51:39+00
12923;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-64;5191416;2026-07-23 18:53:40+00
12924;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-64;5312360;2026-07-23 18:55:40+00
12925;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-65;5433303;2026-07-23 18:57:41+00
12926;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-65;5554245;2026-07-23 18:59:42+00
12927;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-65;5675172;2026-07-23 19:01:43+00
12928;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;safe;online;-65;5796092;2026-07-23 19:03:44+00
12929;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;safe;online;-66;5917018;2026-07-23 19:05:45+00
12930;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-64;6037965;2026-07-23 19:07:46+00
12931;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-65;6158902;2026-07-23 19:09:47+00
12932;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-65;6279903;2026-07-23 19:11:48+00
12933;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-65;6399980;2026-07-23 19:13:48+00
12934;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;safe;online;-64;6520036;2026-07-23 19:15:48+00
