id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
19925;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-66;120244543;2026-07-19 17:01:13+00
19926;NJYF1;1;27.30;32.00;35.00;33.50;99;manual;safe;online;-66;120365123;2026-07-19 17:03:13+00
19927;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-66;120485704;2026-07-19 17:05:14+00
19928;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-65;120606295;2026-07-19 17:07:15+00
19929;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-65;120726872;2026-07-19 17:09:15+00
19930;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-65;120847454;2026-07-19 17:11:16+00
19931;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-66;120968052;2026-07-19 17:13:16+00
19932;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-66;121088630;2026-07-19 17:15:17+00
19933;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-66;121209218;2026-07-19 17:17:17+00
19934;NJYF1;1;27.10;32.00;35.00;33.50;99;manual;safe;online;-65;121329815;2026-07-19 17:19:18+00
19935;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-65;121450412;2026-07-19 17:21:18+00
19936;NJYF1;1;27.10;32.00;35.00;33.50;99;manual;safe;online;-65;121571000;2026-07-19 17:23:19+00
19937;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-65;121691598;2026-07-19 17:25:20+00
19938;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-65;121812177;2026-07-19 17:27:20+00
19939;NJYF1;1;27.20;32.00;35.00;33.50;99;manual;safe;online;-65;121932742;2026-07-19 17:29:21+00
19940;NJYF1;1;27.10;32.00;35.00;33.50;99;manual;safe;online;-66;122053342;2026-07-19 17:31:21+00
19941;NJYF1;1;27.10;32.00;35.00;33.50;99;manual;safe;online;-66;122173932;2026-07-19 17:33:22+00
19942;NJYF1;1;27.10;32.00;35.00;33.50;99;manual;safe;online;-65;122294512;2026-07-19 17:35:23+00
19943;NJYF1;1;27.10;32.00;35.00;33.50;99;manual;safe;online;-64;122415104;2026-07-19 17:37:23+00
