id;codename;codenumber;temperature;limit_low_temp;limit_high_temp;setpoint;power;mode;power_status;status;rssi;esp_millis;created_at
11437;NJYF1;1;25.50;32.00;35.00;33.50;99;manual;error;online;-71;360060;2026-07-21 17:01:41+00
11438;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-71;480123;2026-07-21 17:03:41+00
11439;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-70;601104;2026-07-21 17:03:52+00
11440;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-71;120073;2026-07-21 17:07:48+00
11441;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;error;online;-71;241085;2026-07-21 17:09:49+00
11442;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;error;online;-71;362025;2026-07-21 17:11:50+00
11443;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-71;483015;2026-07-21 17:13:51+00
11444;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-72;603088;2026-07-21 17:15:51+00
11445;NJYF1;1;25.50;32.00;35.00;33.50;99;manual;error;online;-71;723237;2026-07-21 17:17:51+00
11446;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-70;843371;2026-07-21 17:19:51+00
11447;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-72;963524;2026-07-21 17:21:52+00
11448;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-71;1083745;2026-07-21 17:23:52+00
11449;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-71;1203978;2026-07-21 17:25:52+00
11450;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-71;1324145;2026-07-21 17:27:52+00
11451;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-69;1444364;2026-07-21 17:29:52+00
11452;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-70;1564502;2026-07-21 17:31:53+00
11453;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-70;1684638;2026-07-21 17:33:53+00
11454;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-70;1804858;2026-07-21 17:35:53+00
11455;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-70;1924972;2026-07-21 17:37:53+00
11456;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-70;2045098;2026-07-21 17:39:53+00
11457;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-70;2165276;2026-07-21 17:41:53+00
11458;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;error;online;-72;2285475;2026-07-21 17:43:54+00
11459;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-70;2405675;2026-07-21 17:45:54+00
11460;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-71;2525849;2026-07-21 17:47:54+00
11461;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-70;2646059;2026-07-21 17:49:54+00
11462;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-71;2766188;2026-07-21 17:51:54+00
11463;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-72;2886360;2026-07-21 17:53:54+00
11464;NJYF1;1;25.50;32.00;35.00;33.50;99;manual;error;online;-71;3006489;2026-07-21 17:55:55+00
11465;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-71;3126677;2026-07-21 17:57:55+00
11466;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-70;3246907;2026-07-21 17:59:55+00
11467;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-69;3367090;2026-07-21 18:01:55+00
11468;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-69;3487273;2026-07-21 18:03:55+00
11469;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-69;3607403;2026-07-21 18:05:55+00
11470;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-69;3727608;2026-07-21 18:07:56+00
11471;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-70;3847800;2026-07-21 18:09:56+00
11472;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;error;online;-69;3968078;2026-07-21 18:11:56+00
11473;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;error;online;-69;4088359;2026-07-21 18:13:56+00
11474;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;error;online;-70;4208628;2026-07-21 18:15:57+00
11475;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;error;online;-69;4328915;2026-07-21 18:17:57+00
11476;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;error;online;-70;4449132;2026-07-21 18:19:57+00
11477;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;error;online;-69;4569391;2026-07-21 18:21:57+00
11478;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;error;online;-71;4689625;2026-07-21 18:23:58+00
11479;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;error;online;-71;4809878;2026-07-21 18:25:58+00
11480;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;error;online;-70;4930142;2026-07-21 18:27:58+00
11481;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-69;5050338;2026-07-21 18:29:58+00
11482;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-70;5170593;2026-07-21 18:31:59+00
11483;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-69;5290862;2026-07-21 18:33:59+00
11484;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;error;online;-71;5411065;2026-07-21 18:35:59+00
11485;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;error;online;-69;5531303;2026-07-21 18:37:59+00
11486;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;error;online;-72;5651504;2026-07-21 18:40:00+00
11487;NJYF1;1;25.60;32.00;35.00;33.50;99;manual;error;online;-72;5771757;2026-07-21 18:42:00+00
11488;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-72;5892001;2026-07-21 18:44:00+00
11489;NJYF1;1;25.40;32.00;35.00;33.50;99;manual;error;online;-72;6012255;2026-07-21 18:46:00+00
11490;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-72;6132527;2026-07-21 18:48:01+00
11491;NJYF1;1;25.30;32.00;35.00;33.50;99;manual;error;online;-71;6252742;2026-07-21 18:50:01+00
11492;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;error;online;-72;6372997;2026-07-21 18:52:01+00
11493;NJYF1;1;25.20;32.00;35.00;33.50;99;manual;error;online;-72;6493284;2026-07-21 18:54:01+00
11494;NJYF1;1;25.10;32.00;35.00;33.50;99;manual;error;online;-71;6613553;2026-07-21 18:56:02+00
11495;NJYF1;1;25.00;32.00;35.00;33.50;99;manual;error;online;-71;6733720;2026-07-21 18:58:02+00
11496;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;error;online;-71;6853967;2026-07-21 19:00:02+00
11497;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;error;online;-71;6974190;2026-07-21 19:02:02+00
11498;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-71;7094473;2026-07-21 19:04:03+00
11499;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-72;7214688;2026-07-21 19:06:03+00
11500;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;error;online;-72;7334919;2026-07-21 19:08:03+00
11501;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;error;online;-71;7455176;2026-07-21 19:10:03+00
11502;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;error;online;-73;7575430;2026-07-21 19:12:03+00
11503;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;error;online;-71;7695700;2026-07-21 19:14:04+00
11504;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;error;online;-72;7816022;2026-07-21 19:16:04+00
11505;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-72;7936365;2026-07-21 19:18:04+00
11506;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-72;8056675;2026-07-21 19:20:05+00
11507;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-73;8176951;2026-07-21 19:22:05+00
11508;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-73;8297207;2026-07-21 19:24:05+00
11509;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;error;online;-73;8417514;2026-07-21 19:26:06+00
11510;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-71;8537767;2026-07-21 19:28:06+00
11511;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-71;8658023;2026-07-21 19:30:06+00
11512;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;error;online;-72;8778256;2026-07-21 19:32:06+00
11513;NJYF1;1;24.90;32.00;35.00;33.50;99;manual;error;online;-70;8898550;2026-07-21 19:34:07+00
11514;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-71;9018856;2026-07-21 19:36:07+00
11515;NJYF1;1;24.80;32.00;35.00;33.50;99;manual;error;online;-70;9139040;2026-07-21 19:38:07+00
11516;NJYF1;1;24.70;32.00;35.00;33.50;99;manual;error;online;-70;9259354;2026-07-21 19:40:07+00
11517;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;error;online;-70;9379559;2026-07-21 19:42:08+00
11518;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;error;online;-71;9499780;2026-07-21 19:44:08+00
11519;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;error;online;-72;9619982;2026-07-21 19:46:08+00
11520;NJYF1;1;24.40;32.00;35.00;33.50;99;manual;error;online;-71;9740258;2026-07-21 19:48:08+00
11521;NJYF1;1;24.40;32.00;35.00;33.50;99;manual;error;online;-72;9860518;2026-07-21 19:50:09+00
11522;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;error;online;-70;9980723;2026-07-21 19:52:09+00
11523;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;error;online;-71;10100901;2026-07-21 19:54:09+00
11524;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;error;online;-71;10221094;2026-07-21 19:56:09+00
11525;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;error;online;-71;10341288;2026-07-21 19:58:09+00
11526;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;error;online;-74;10461528;2026-07-21 20:00:10+00
11527;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;error;online;-71;10581764;2026-07-21 20:02:10+00
11528;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;error;online;-72;10701916;2026-07-21 20:04:10+00
11529;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;error;online;-71;10822113;2026-07-21 20:06:10+00
11530;NJYF1;1;24.60;32.00;35.00;33.50;99;manual;error;online;-72;10942353;2026-07-21 20:08:10+00
11531;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;error;online;-71;11062449;2026-07-21 20:10:11+00
11532;NJYF1;1;24.50;32.00;35.00;33.50;99;manual;error;online;-71;11182660;2026-07-21 20:12:11+00
11533;NJYF1;1;24.40;32.00;35.00;33.50;99;manual;error;online;-70;11302759;2026-07-21 20:14:11+00
11534;NJYF1;1;24.40;32.00;35.00;33.50;99;manual;error;online;-72;11422894;2026-07-21 20:16:11+00
11535;NJYF1;1;24.40;32.00;35.00;33.50;99;manual;error;online;-72;11543037;2026-07-21 20:18:11+00
11536;NJYF1;1;24.30;32.00;35.00;33.50;99;manual;error;online;-70;11663184;2026-07-21 20:20:11+00
11537;NJYF1;1;24.30;32.00;35.00;33.50;99;manual;error;online;-71;11783318;2026-07-21 20:22:11+00
11538;NJYF1;1;24.20;32.00;35.00;33.50;99;manual;error;online;-70;11903588;2026-07-21 20:24:11+00
11539;NJYF1;1;24.10;32.00;35.00;33.50;99;manual;error;online;-69;12023813;2026-07-21 20:26:12+00
11540;NJYF1;1;24.10;32.00;35.00;33.50;99;manual;error;online;-69;12144001;2026-07-21 20:28:12+00
11541;NJYF1;1;24.00;32.00;35.00;33.50;99;manual;error;online;-69;12264188;2026-07-21 20:30:12+00
